feature,JS_divergence,Wasserstein
wid,0.687667935727139,4.511291449083397
MLS,0.17749689935176205,1.2517637153094492
MLC,0.13484216095958157,0.1465045416930945
MLT,0.08989709739159531,0.1500348923573283
CS,0.259001892319289,0.3001874125475784
CT,0.13130267105301938,0.061953879119545224
cTT,0.158949617230044,0.01760846460920375
dCC,0.1284040884918199,0.012249891663686088
dCT,0.11727458853213485,0.033583448756957165
cPC,0.2811831967366977,0.028529266568519153
cPT,0.34144165126583004,0.04606373619084088
TS,0.3379836936199555,0.13643346589293714
cNC,0.2675475690379192,0.08938934170593016
cNT,0.2719840196870799,0.14886811382952622
cNS,0.16854002859094883,0.10865762591158311
VPT,0.11851843378116621,0.05675867693541128
NPpre,0.29735537290290004,0.04089776570222836
NPpost,0.22849611622354302,0.09144343527648871
KDbase,0.16330527753901386,0.011429705591054457
NDW,0.17325269847489644,0.9110299421958379
TTR,0.25943175689523,0.010994240944663659
cTTR,0.16068254912387972,0.06764853153037473
rTTR,0.1606819164242767,0.09567045481451125
bTTR,0.26262531913403997,0.003664139652675787
Uber,0.15763273221730145,0.25065376333745915
lwVAR,0.2519931284372868,0.0072134932944515765
vVAR1,0.2980962065030374,0.03062777414449855
svVAR1,0.27339435218715785,0.2633350897020359
cvVAR1,0.28636574172345264,0.07077335096110991
vVAR2,0.6887272618988217,0.1395204978311532
nVAR,0.28602967753924896,0.027150556204750376
adjVAR,0.2410109881727181,0.011227094577946486
advVAR,0.22349114623979954,0.01176046510649394
modVAR,0.16577318380622746,0.009791877044621495
LD,0.3476228798312403,0.024800839362750564
MLWc,0.18964376839942468,0.06955467141666721
MLWs,0.10831930326724859,0.008270252445564553
B2KBANC,0.33061265906420634,0.029129631082385095
B2KBBNC,0.16363581706732636,0.011067261401834047
NNGSL,0.3050935609148955,0.027627479637403245
NSW,0.35315943390753224,0.02889281898049602
1GNLFa,0.3006551431375397,19.647487482573617
2GNLFa,0.35744072075737554,10.250457023919823
3GNLFa,0.3298665393542932,1.9333604609835622
4GNLFa,0.2822801625215574,0.1696861542899435
5GNLFa,0.214822368266446,0.01796292380686807
1GNLFb,0.30351157438045834,20.991492255118313
2GNLFb,0.3733378310817523,13.480298429935164
3GNLFb,0.39287560112493985,4.491720368101781
4GNLFb,0.3356458802497005,0.7228954203846389
5GNLFb,0.2621731654798026,0.09748582334835053
1GNLFf,0.32545746401452713,22.148861922180664
2GNLFf,0.4184270591483006,14.436571239157876
3GNLFf,0.4496164611480524,4.56808823873005
4GNLFf,0.3985036054099577,0.6924513205459287
5GNLFf,0.28998126953053105,0.08946148289796428
1GNLFm,0.30225272114917034,20.5518822992577
2GNLFm,0.3747238601230549,12.487727579090482
3GNLFm,0.38567706747464753,3.442566300095856
4GNLFm,0.3279480024442102,0.4408613417599937
5GNLFm,0.2562064751791779,0.05215031022168813
1GNLFn,0.30661038722522765,20.559976384933876
2GNLFn,0.3722475286435882,12.07885697514736
3GNLFn,0.3635305025944643,3.2108592334295487
4GNLFn,0.314841559037761,0.42480232605047336
5GNLFn,0.24862824095192546,0.053958815176998534
1GNLFs,0.31980589105459317,21.914287641986313
2GNLFs,0.39273316401126246,13.594040681429792
3GNLFs,0.4016472926130414,4.246248687916266
4GNLFs,0.3421490104784669,0.6823109600517469
5GNLFs,0.27321408294134747,0.09674797250940895
1GNLFtv,0.32507574211250656,22.32399047962494
2GNLFtv,0.4137801978053907,14.448558716915311
3GNLFtv,0.43744793067345883,4.781535834241025
4GNLFtv,0.3795412915634081,0.8454257888691963
5GNLFtv,0.2784853671547558,0.13072959476131393
1GNLFw,0.30202058367990925,20.868591736304047
2GNLFw,0.3726063509286708,13.356706213059603
3GNLFw,0.39729471429017765,4.324418701610901
4GNLFw,0.3431607916823653,0.670550595398223
5GNLFw,0.25155504708227044,0.08630511236349106
NSLO,0.6232211341471446,0.04414990384041369
NSLOsn,0.48893469216919616,0.18018409453088363
NSLOb,0.5307813716328544,0.1277004321164179
N2SLO,0.7453511698264194,0.09231465903425193
N2SLOsn,0.24613571290530756,0.0818269235121076
N2SLOb,0.8054286979175451,0.27844875998345736
NSCWO,0.25447080249703735,0.005171899671108529
NSCWOsn,0.4867673086916911,0.056919515732386836
NSCWOb,0.22706664737780818,0.045857250240376235
N2SCWO,0.5118024117906348,0.016590105695146993
N2SCWOsn,0.27545036773158793,0.029025688469038698
N2SCWOb,0.509233231293126,0.15255283336885983
NSFWO,0.6557534317363894,0.03835222675443759
NSFWOsn,0.4644485514570591,0.12110834909810393
NSFWOb,0.5502135995094595,0.14406523831744533
N2SFWO,0.7538471976786828,0.07323371133610901
N2SFWOsn,0.2316792191489114,0.05793900050964273
N2SFWOb,0.8012257136619383,0.2876087552091271
NSNO,0.18051588981315567,0.00163832081771424
NSNOsn,0.47846557853139093,0.03285020354062894
NSNOb,0.18651775167973134,0.021519727417014432
N2SNO,0.32256564236718777,0.005718852975809045
N2SNOsn,0.30802425557247937,0.019550450494154013
N2SNOb,0.31936703470045247,0.07297488676455541
NSVO,0.4357664135013467,0.003648005436030771
NSVOsn,0.3862016277417367,0.013563149530658219
NSVOb,0.3578670158169517,0.04650397802336817
N2SVO,0.6030587131299423,0.007500798896112211
N2SVOsn,0.23480625071025632,0.009754309114200437
N2SVOb,0.534195578500988,0.10323517802629405
NSAO,0.31906552848569253,0.0007261899884075781
NSAOsn,0.45149870118448165,0.005754104062712401
NSAOb,0.3282786776856453,0.011238604964276703
N2SAO,0.3399986748434921,0.001187699970439525
N2SAOsn,0.3189238670918287,0.004183447093032308
N2SAOb,0.2980958361496818,0.01944380990114823
NSAdvO,0.31237026066886,0.0011323782096949936
NSAdvOsn,0.346857264142595,0.0044096907393551075
NSAdvOb,0.3603539596654055,0.015297252940162258
N2SAdvO,0.43782320840280115,0.002297353719602483
N2SAdvOsn,0.2352681095715946,0.0033823099515377913
N2SAdvOb,0.43109931857951966,0.034668590364403236
NSPO,0.5946819879099031,0.020334883219431804
NSPOsn,0.3207944688054263,0.029567926628616226
NSPOb,0.5924454328099487,0.19708384877302282
N2SPO,0.6949086518861463,0.03125912119855663
N2SPOsn,0.20173079178460043,0.019540265334608335
N2SPOb,0.7557157562479097,0.31114817662215627
NSARGO,0.588229094736458,0.020829421556934263
NSARGOsn,0.45281170315158675,0.0604868307810897
NSARGOb,0.5667932565086604,0.16611727208459792
N2SARGO,0.7114168442342884,0.03673111716066996
N2SARGOsn,0.23840322294864122,0.02942897071058028
N2SARGOb,0.7735818395928329,0.28921705996140956
AD,0.2730626754233225,0.003954973413113919
AVD,0.28029114661605287,0.005537268326408046
CAUSD,0.24300205432030278,0.00238455019796106
COND,0.2509787723147228,0.006529766616236348
DEMD,0.20671263591662672,0.0026969782596672747
LOGD,0.17368390648434423,0.002918963427036646
NEGD,0.19784495903361007,0.0020945803897897968
POSD,0.27687042130903916,0.006474702244888544
BCD,0.31019946486815053,0.007210668985831353
CD,0.32744163835314893,0.0054793012070371
CCD,0.26258283042521113,0.0021886893833546078
DETD,0.3183826854102599,0.009817642316201407
DD,0.29446898342961253,0.001445803912520503
LSD,0.22554248503463462,0.0031463462874029894
negLOGD,0.17486926592280932,0.001301698463880361
OPPD,0.18366188746676865,0.0015596944488828852
ORDD,0.2667560289384745,0.0014598775312988275
posCAUSD,0.20617330724689284,0.0033763202923725063
posID,0.2925170795853935,0.002970273561170183
posLOGD,0.2092510202384564,0.0028922139618179268
RPD,0.26900331302844416,0.0025530243966238363
SLD,0.18453009392324485,0.0030755057099055728
TD,0.2445645327059215,0.002299642007038778
ARI,0.09526921973712438,0.34332959311439976
DCI,0.15342562662628528,0.1539283079797526
DCIpsk,0.13064903212205792,0.0931722320987807
CLI,0.08013907611978584,0.1276842349300542
FKRE,0.14136639231854253,0.4763731236280303
FKGL,0.11268726981915306,1.2205948799727977
FORCAST,0.13029460078078656,0.08930058914692802
FryX,0.10839412154532206,0.8270318233608903
FryY,0.23227749676027173,1.3794349379008146
GFI,0.14693274452065455,0.5153658616169139
LIX,0.13340693760581052,1.2770501546719544
RIX,0.12610758806610542,0.17837198369742543
SMOG,0.13983105705737386,0.3221758284559526
SPACHE,0.17362385289352786,0.1442059014924521
WFCOCAw,0.14150798052545938,0.8718835698098073
T10KCOCAw,0.40215407289427835,0.025137732754959733
T20KCOCAw,0.38626739891611866,0.019865268453637647
T30KCOCAw,0.3809129526796709,0.017378062058656787
T40KCOCAw,0.3768433321451679,0.015599830947945818
T50KCOCAw,0.3628444483986779,0.014254858891641206
T60KCOCAw,0.3693863074138276,0.01340343776879753
T70KCOCAw,0.3671384114545622,0.012722056690749974
T80KCOCAw,0.35158236256337666,0.01202915286479107
T90KCOCAw,0.3381195913244827,0.011360188766465034
T100KCOCAw,0.32679125530172876,0.010885244453027383
WFCOCAs,0.11450254249614027,0.08402082937399824
T10KCOCAs,0.39404217785298656,0.02737455378121361
T20KCOCAs,0.3968876433418807,0.02302529449662139
T30KCOCAs,0.4063767879004592,0.021485432984428603
T40KCOCAs,0.4052421299834238,0.019796832517237364
T50KCOCAs,0.39542521584726315,0.018032767228087276
T60KCOCAs,0.39346032234856354,0.017043249875774165
T70KCOCAs,0.38533246882317235,0.016027577882945794
T80KCOCAs,0.3742903031047902,0.015384122296595524
T90KCOCAs,0.3786345071644541,0.015112457077515535
T100KCOCAs,0.3796149971565089,0.014769939575158302
WRCOCAw,0.2377629508575639,0.4600581440669321
SDCOCAw,0.12485192484202462,0.368633951571808
VCCOCAw,0.40856669819783714,2.7177511837121964
JDCOCAw,0.37719079624282414,0.01050794360064233
CDCOCAw,0.36888534594494604,0.01806351379232423
RSCOCAw,0.24510090532369655,0.0752137274005282
DPCOCAw,0.23543858811541485,0.02363460212651966
DPCOCAwnorm,0.2354738423313068,0.023634573638066522
KLDCOCAw,0.3745115686851321,0.24313053039456356
WRCOCAs,0.28706856484573845,0.10364636488757373
SDCOCAs,0.12310368080597951,0.2951844191109938
VCCOCAs,0.4018498487967115,1.2779912868924128
JDCOCAs,0.4069554107578285,0.01861195557780351
CDCOCAs,0.38762192189663985,0.02439248604085354
RSCOCAs,0.2944664032567894,0.02483740023024026
DPCOCAs,0.10880184202518353,0.002131919136527642
DPCOCAsnorm,0.10885846617329249,0.002132006141909589
KLDCOCAs,0.3325809028365135,0.19192502273010048
