feature,JS_divergence,Wasserstein
wid,0.47601937988069376,0.3518136253315386
MLS,0.09838616555568953,0.4740956668866171
MLC,0.6440122513369952,2.055025894937065
MLT,0.30846424709876735,1.1239113225750217
CS,0.36858889591492927,0.2717196598587819
CT,0.41619972779508957,0.2177113705732732
cTT,0.7592944478262116,0.14311043990695882
dCC,0.5454265808122705,0.08517872383316172
dCT,0.5475378778982798,0.2244461472165887
cPC,0.6445525848042107,0.12154053410425177
cPT,0.7153628305311173,0.08774388914124726
TS,0.6313787935882693,0.1310343378895425
cNC,0.7242354575199982,0.7158604209788156
cNT,0.6310865256136745,0.7774793231990107
cNS,0.6076733243557527,0.9323607330436774
VPT,0.39851197535192856,0.21470181574087904
NPpre,0.6087939737653737,0.16943953036825155
NPpost,0.5252043599174926,0.36789744232325583
KDbase,0.33292681535643176,0.026955442844901978
NDW,0.22639754154071268,1.2181496664371783
TTR,0.6304732377035666,0.030669864835447848
cTTR,0.46183425854540394,0.24996300127741702
rTTR,0.46189320795293604,0.35350123424736113
bTTR,0.6597205703025002,0.011152825933687972
Uber,0.5022437940138996,1.0847877968236423
lwVAR,0.875217409626805,0.03572839812240497
vVAR1,0.8848293647628825,0.1261294895838668
svVAR1,0.44771781622062995,0.21431614395264448
cvVAR1,0.4203437424762551,0.0980852330468557
vVAR2,0.4836795612936791,0.08297016068771933
nVAR,0.5941095483306618,0.09473643857900645
adjVAR,0.5801939161747148,0.049120263908446184
advVAR,0.6671676533186881,0.06127256256364227
modVAR,0.3978047369196524,0.034048348509618104
LD,0.5761811415774497,0.060498740161665454
MLWc,0.9096799265956711,1.084332008091137
MLWs,0.8797997512830888,0.32814132679513763
B2KBANC,0.7296239439407999,0.127691633776603
B2KBBNC,0.6961332447177473,0.10523378538075359
NNGSL,0.43183017724293576,0.05325794123146475
NSW,0.602719444651489,0.07203549861835074
1GNLFa,0.25714262259347875,11.503563262008415
2GNLFa,0.29715426070507517,5.543662701827967
3GNLFa,0.49415453482343386,2.151603595090851
4GNLFa,0.595243108335172,0.2669990094545683
5GNLFa,0.40368142178958877,0.029825121885437504
1GNLFb,0.25523538790714584,11.504071022728684
2GNLFb,0.40164331739785075,11.86213549354444
3GNLFb,0.6130287560145181,5.9612465010436795
4GNLFb,0.6370176885685842,0.966833395666469
5GNLFb,0.6194524378163753,0.15517660623985458
1GNLFf,0.2683137108603879,11.834069881631846
2GNLFf,0.4326719616896295,11.60789925089894
3GNLFf,0.6369692564207375,4.909003371099461
4GNLFf,0.671977485599648,0.7007799667148381
5GNLFf,0.3203302991583021,0.09563397323461734
1GNLFm,0.25916187200687896,11.832857632525538
2GNLFm,0.3133992644134069,7.043066698679344
3GNLFm,0.5175852366595468,3.5211641493794903
4GNLFm,0.5896711716877696,0.5232455992094882
5GNLFm,0.5802623309639304,0.08318255967587886
1GNLFn,0.25954614611101406,11.584183639755961
2GNLFn,0.33778068433218394,7.85486621759388
3GNLFn,0.5648570138487704,3.897966298767198
4GNLFn,0.625792309492537,0.5734167948939128
5GNLFn,0.5503952691745108,0.07546328678975378
1GNLFs,0.252143414273246,11.148278485432881
2GNLFs,0.48685981262092526,14.748708510883391
3GNLFs,0.6997338231619447,6.4477939896397585
4GNLFs,0.7110669509103159,1.0219153954180498
5GNLFs,0.7000783341195791,0.14013798535729755
1GNLFtv,0.27013282774997555,11.929978592549771
2GNLFtv,0.5483924531823535,17.094694578000425
3GNLFtv,0.7228651685577335,6.597727898472763
4GNLFtv,0.7041498502697286,1.0339494528505218
5GNLFtv,0.4156620325487382,0.14983368741508082
1GNLFw,0.2556557944228994,11.577186962284438
2GNLFw,0.38693724215005804,11.011977964568331
3GNLFw,0.6044373891311264,5.557180570278362
4GNLFw,0.6320056165136098,0.8651054954433028
5GNLFw,0.5368607999774677,0.12858359159605123
NSLO,0.5167808484148937,0.03541563499476068
NSLOsn,0.6273403742308141,0.16343306441324257
NSLOb,0.8243835353834748,0.1805559601936167
N2SLO,0.29556849944783464,0.024488752160014483
N2SLOsn,0.5539257889384646,0.2577133086765987
N2SLOb,0.8983688984270215,0.30142187370207574
NSCWO,0.7567374324623687,0.01922914583667683
NSCWOsn,0.8126309776995687,0.09908528784799624
NSCWOb,0.8812290093405567,0.21647918464999819
N2SCWO,0.6735927719724265,0.01830246736839109
N2SCWOsn,0.8172620499262387,0.09717688471307041
N2SCWOb,0.9008654751084622,0.2548315590165061
NSFWO,0.46106649658076937,0.020441150463470288
NSFWOsn,0.634926613552158,0.13282265864660997
NSFWOb,0.8279765642137493,0.19494553949029697
N2SFWO,0.2599804175153425,0.011048016919198912
N2SFWOsn,0.6291285473035996,0.2814257700917906
N2SFWOb,0.8909319275632019,0.3140228503267579
NSNO,0.8002252462331572,0.009053254971480166
NSNOsn,0.7913110787226147,0.050291660828963324
NSNOb,0.9223975549953265,0.14553830462351697
N2SNO,0.7217363078369016,0.008034201056322274
N2SNOsn,0.8690798331392082,0.06706374919945857
N2SNOb,0.932490263306978,0.21064966092134033
NSVO,0.9466115432848643,0.006183500186897524
NSVOsn,0.9528366038466793,0.03299011159445599
NSVOb,0.9660773838380182,0.1078346950637473
N2SVO,0.9147219606241186,0.006498905119594086
N2SVOsn,0.9465186877829472,0.03482201313415445
N2SVOb,0.9618007826237556,0.13983918248834293
