feature,JS_divergence,Wasserstein
wid,0.6236343184683086,0.769747572428903
MLS,0.1827770544763483,0.6879907832625227
MLC,0.6589430938114381,2.327933773112653
MLT,0.3489735485678068,1.2945622818192546
CS,0.5059582278111415,0.48722592945860554
CT,0.5338933794938912,0.3032491980305122
cTT,0.8269581728286992,0.1666756382361318
dCC,0.6611177526627742,0.11336354339192295
dCT,0.6613639435920171,0.2922440023617871
cPC,0.719325516310023,0.12638428674325705
cPT,0.767783052570067,0.0747470664845163
TS,0.708247977627871,0.1518471186268504
cNC,0.7500487810935,0.8629022492809457
cNT,0.6845704493715304,0.9582882745751755
cNS,0.6526414312845898,1.105473245539367
VPT,0.5174795476288356,0.3024629381445003
NPpre,0.6575691647309725,0.2185244245660744
NPpost,0.5532390804224782,0.39514094554225165
KDbase,0.32942122287136527,0.022347852911469294
NDW,0.2274446453572483,0.9548414352463008
TTR,0.6161155615228753,0.03010644588818174
cTTR,0.3792728101886255,0.19817781904670836
rTTR,0.37931037575769,0.28026589456580736
bTTR,0.6374208272204713,0.011038422291627326
Uber,0.4187739254974767,0.8682185643699639
lwVAR,0.9008347172153903,0.0369699144991968
vVAR1,0.9280970287951334,0.14011807056815773
svVAR1,0.5681431994056066,0.2693862789243646
cvVAR1,0.468016707185257,0.09238055752089044
vVAR2,0.3994040233114203,0.06903928679977064
nVAR,0.6594101230896666,0.11975684721390263
adjVAR,0.5978375221517744,0.05767791367970422
advVAR,0.6924667687392555,0.06793387765710962
modVAR,0.4560115926926492,0.04379948846668538
LD,0.7114963910686533,0.0939471298992839
MLWc,0.872446608674925,1.0762921461792834
MLWs,0.8143016158651502,0.31101872217942383
B2KBANC,0.7864053922551476,0.1564237383141133
B2KBBNC,0.727837196138174,0.12128552135766434
NNGSL,0.5713938954055173,0.08845619312512426
NSW,0.7086904945134119,0.09996943347820646
1GNLFa,0.30715547683759625,15.216775770769132
2GNLFa,0.41553196910349227,9.298009840225042
3GNLFa,0.6066387591446749,3.0012746814217115
4GNLFa,0.6824353135635282,0.322702252843016
5GNLFa,0.4449261244224022,0.0316427138508789
1GNLFb,0.3071350723431789,15.813194471927897
2GNLFb,0.4939021083695173,15.826982439580263
3GNLFb,0.6985358530312757,7.2743770706062065
4GNLFb,0.7335017793575435,1.1928346386376494
5GNLFb,0.701044768693223,0.1687111766774498
1GNLFf,0.3159865341492896,16.0359269640474
2GNLFf,0.4749956640773869,13.169849192071496
3GNLFf,0.6546387154741068,5.232439028124293
4GNLFf,0.7078737671520031,0.7654024152838806
5GNLFf,0.33280026817443165,0.09981429597920392
1GNLFm,0.3015366723620612,15.590476312038822
2GNLFm,0.39574946047583154,10.049079999965603
3GNLFm,0.5945801294628691,4.412805735699591
4GNLFm,0.6639453970989662,0.6297789087454796
5GNLFm,0.6076433764078836,0.0836285525465892
1GNLFn,0.3009389269498072,15.338017422664155
2GNLFn,0.4196673489527482,10.821819743067572
3GNLFn,0.6302816721840818,4.624415578349549
4GNLFn,0.7004459241026793,0.6596223023854648
5GNLFn,0.6202416697324855,0.08625243028463006
1GNLFs,0.308672550200748,15.616414332735983
2GNLFs,0.5612546129755022,18.133817153033988
3GNLFs,0.7611381943770577,7.327547954441211
4GNLFs,0.7907789875125658,1.180405426353539
5GNLFs,0.7610806758700134,0.15752636380474286
1GNLFtv,0.32452307545007375,16.357084199166522
2GNLFtv,0.5857502349461678,19.207480357804897
3GNLFtv,0.7612285579327278,7.235537755184822
4GNLFtv,0.7670144010905716,1.1580472194792752
5GNLFtv,0.459083083673744,0.16821306939975
1GNLFw,0.3079016855728628,15.848790295529202
2GNLFw,0.4782246605267482,14.704826278739676
3GNLFw,0.6852859184480684,6.747866797930186
4GNLFw,0.7175158602677553,1.0403408887438352
5GNLFw,0.605545503587056,0.14182037014303078
NSLO,0.61872051911709,0.04768786421938106
NSLOsn,0.714738944740253,0.21127591575704477
NSLOb,0.88835605503532,0.2444761240815222
N2SLO,0.5728795827531558,0.05616874497047049
N2SLOsn,0.7163891940744901,0.2704495205921751
N2SLOb,0.9348059106002043,0.3314072588268486
NSCWO,0.8325740358882509,0.021258763857769303
NSCWOsn,0.8981351919818985,0.1113786272121266
NSCWOb,0.9385516870187671,0.2565380526898454
N2SCWO,0.7995450145578606,0.02202393545195408
N2SCWOsn,0.9126637440404818,0.11260482337123165
N2SCWOb,0.9489077726388584,0.30415962320613965
NSFWO,0.5382736138605841,0.02744231966277072
NSFWOsn,0.7332337408499785,0.20232642613693452
NSFWOb,0.876882053767289,0.25166929489472945
N2SFWO,0.5033751751147826,0.0323241205643586
N2SFWOsn,0.7526169123332367,0.25634426412045963
N2SFWOb,0.9309370662516812,0.340595154518344
NSNO,0.8817566733292826,0.010397848762287554
NSNOsn,0.8761958454299473,0.06082952634546034
NSNOb,0.9547517493617057,0.16882490509670317
N2SNO,0.8420048121520025,0.010357189622790326
N2SNOsn,0.9316350140176687,0.06717952554181766
N2SNOb,0.958892861753345,0.21701637394119302
NSVO,0.9599597295593931,0.0063665792883589
NSVOsn,0.9647296541508702,0.03415971745131951
NSVOb,0.972085540867566,0.11020023401824597
N2SVO,0.9488854144432435,0.006894011736707523
N2SVOsn,0.9620368031393544,0.03645385520250331
N2SVOb,0.9710908819132575,0.14455525770306296
NSAO,0.9091046288851655,0.0020118118305314865
NSAOsn,0.8929509337406806,0.011368404508979118
NSAOb,0.9245502147734095,0.036945436071413
N2SAO,0.8688151834821541,0.002181593678838887
N2SAOsn,0.8162916715906231,0.013841645293270845
N2SAOb,0.8739022060629685,0.05405075327960458
NSAdvO,0.7959571723580114,0.0017837851578194237
NSAdvOsn,0.853556518618451,0.009517280538030908
NSAdvOb,0.9146644710958993,0.032083402394332786
N2SAdvO,0.8152844341842781,0.002051526076701991
N2SAdvOsn,0.8985991544561678,0.01020452377028243
N2SAdvOb,0.9079870547440669,0.04393713547001463
NSPO,0.7055812243282243,0.0175019924910252
NSPOsn,0.8293218124983238,0.09410066122276041
