feature,JS_divergence,Wasserstein
wid,0.6593367150489462,0.8484494297093709
MLS,0.18476186566529265,0.6365174502229674
MLC,0.6045935926459725,1.9507924826441125
MLT,0.3875846735033079,1.3070612315419927
CS,0.47410239655191544,0.35556758194243626
CT,0.5521006186556643,0.32599692614617276
cTT,0.8366355353080893,0.17493741569368806
dCC,0.6541743900386258,0.1115847499583156
dCT,0.6547613170276115,0.2823917960702444
cPC,0.7132978537552181,0.143034990362862
cPT,0.7805703981558344,0.09500374023021851
TS,0.7300076407257174,0.18188786395323203
cNC,0.662503093470475,0.6911773392155413
cNT,0.561395583181795,0.7119954115111522
cNS,0.5694361109882651,0.9059563843199279
VPT,0.5357660575367506,0.33192610510755816
NPpre,0.6217902606111535,0.1822213890182131
NPpost,0.5427034826785685,0.37271805664068053
KDbase,0.3218929802357397,0.022359142488826908
NDW,0.23467601115229708,0.958443309905179
TTR,0.616327474067327,0.03020989306687101
cTTR,0.3817469681667305,0.19455770571811964
rTTR,0.38174789975804385,0.2751462494755653
bTTR,0.6445105038903297,0.01108554744714331
Uber,0.4211697838120624,0.853643334454755
lwVAR,0.8862717566516751,0.03581224540162771
vVAR1,0.9339640187640987,0.14102544509822382
svVAR1,0.5915293854550907,0.30599552644586203
cvVAR1,0.5069970476102018,0.11213834477540294
vVAR2,0.3973265491986701,0.07630706464485906
nVAR,0.5849901320124724,0.10068383385422176
adjVAR,0.6084721430442572,0.05783781129365316
advVAR,0.6802263558469742,0.0651005092053937
modVAR,0.46604314667435043,0.04538445216109542
LD,0.6594915899391922,0.08542258222473621
MLWc,0.8500324883083424,1.0497641243677616
MLWs,0.7967657316429188,0.31021838826711934
B2KBANC,0.7025221549072969,0.13754233149870648
B2KBBNC,0.6530367168530744,0.10323766570080814
NNGSL,0.510412062757747,0.07713958561930072
NSW,0.6598377545958521,0.09461786695530498
1GNLFa,0.32812450154089545,16.386255452917872
2GNLFa,0.3851938843656218,8.32385411179626
3GNLFa,0.5482148297685685,2.5033390521725765
4GNLFa,0.635801038920192,0.2962629454285842
5GNLFa,0.41578110737604684,0.03150668330627962
1GNLFb,0.32780298548255293,17.249463790948077
2GNLFb,0.4570213745798724,14.359791743964596
3GNLFb,0.6355106997690186,6.317763845407698
4GNLFb,0.6763770928164682,1.0595206010506568
5GNLFb,0.664580953671134,0.16340351328142091
1GNLFf,0.33833449947033234,17.565071656871364
2GNLFf,0.4783661238966636,13.537346569699556
3GNLFf,0.6414399338824751,5.0084577076600665
4GNLFf,0.6877462462435524,0.7276318337909884
5GNLFf,0.32481831820015106,0.10117979998706472
1GNLFm,0.3239217283697671,16.938302901759098
2GNLFm,0.38834105918155765,10.038837310253545
3GNLFm,0.5602181932804405,3.98069861197175
4GNLFm,0.6290569157844467,0.5835320751733528
5GNLFm,0.5898396175314206,0.0879449434922845
1GNLFn,0.32801561246335753,16.80932861304936
2GNLFn,0.4115330731225229,10.57434118315666
3GNLFn,0.5843033156610249,4.105516377094287
4GNLFn,0.6543776096952127,0.6009627657968396
5GNLFn,0.5834119284944392,0.08641610459074175
1GNLFs,0.32917927733774943,17.010292915426554
2GNLFs,0.5186268348993399,16.34140908041529
3GNLFs,0.6972273618243585,6.536631835707966
4GNLFs,0.7300433535946647,1.0536825887753625
5GNLFs,0.722466164742203,0.14919963474350242
1GNLFtv,0.34586461635478055,17.874631319882425
2GNLFtv,0.5605743171916275,18.184888351844194
3GNLFtv,0.7179231325970882,6.6622909174996385
4GNLFtv,0.7272645046611879,1.0615310533259263
5GNLFtv,0.4443935026304575,0.16723843365894936
1GNLFw,0.3272540825056801,17.258022586214736
2GNLFw,0.4415555600667999,13.436354463594807
3GNLFw,0.6281693741593386,5.894675604521572
4GNLFw,0.6716304053319464,0.9452142183029101
5GNLFw,0.5861693983744524,0.1395184077425698
NSLO,0.6367033996047348,0.04990543274865156
NSLOsn,0.7567475854632354,0.2226329267418793
NSLOb,0.9070844174450866,0.2520612929532212
N2SLO,0.6160545462046596,0.061522022015647534
N2SLOsn,0.7527607097127521,0.28012013027365695
N2SLOb,0.941179837870233,0.33936932724325364
NSCWO,0.8254197894852381,0.02046625592828672
NSCWOsn,0.8974371133212118,0.11135153806460425
NSCWOb,0.9439122542188955,0.25614917376683594
N2SCWO,0.8062932731341674,0.02186682116063459
N2SCWOsn,0.9168649773621933,0.11367046051374709
N2SCWOb,0.9555140065817826,0.305063283233772
NSFWO,0.5536637791162967,0.029760099599945324
NSFWOsn,0.7775867928845756,0.21545168954662636
NSFWOb,0.8928024500276449,0.26078771299592396
N2SFWO,0.547415905484968,0.03751671683181354
N2SFWOsn,0.7846699248939326,0.2512617827231467
N2SFWOb,0.9368925463817787,0.3450948471739647
NSNO,0.8944139151654434,0.010567393607066237
NSNOsn,0.8832889654250929,0.06360628339666463
NSNOb,0.961900067438844,0.17077653593234596
N2SNO,0.8584566628564847,0.01065350701438378
N2SNOsn,0.9425717262784041,0.06833093398574758
N2SNOb,0.9659435862973625,0.217272934999891
NSVO,0.9616811701892041,0.006342832022547631
NSVOsn,0.9656459323031759,0.03470338830432762
NSVOb,0.9726156256454381,0.11204836898516156
N2SVO,0.9460054930602944,0.006745719766227945
N2SVOsn,0.9622167246630037,0.03792243222091779
N2SVOb,0.9718482782011717,0.14826417746736845
NSAO,0.9093001113269013,0.002045858402217062
NSAOsn,0.892524758096639,0.011600027585902197
NSAOb,0.9243676362181997,0.03738742866881983
N2SAO,0.8695562429650607,0.0021743697782619434
N2SAOsn,0.8161419437010523,0.013018854515856527
N2SAOb,0.8735792200472154,0.051928204591118916
NSAdvO,0.7961877011109577,0.001823765055100353
NSAdvOsn,0.8541094636648114,0.010309943172751239
NSAdvOb,0.9148112181951754,0.03370574471486162
N2SAdvO,0.8152048417021813,0.002062390260279362
N2SAdvOsn,0.8988414854836871,0.010374431695577717
N2SAdvOb,0.9083575246825893,0.044622841946176925
NSPO,0.7443176702962336,0.01854676360534578
NSPOsn,0.872796821832427,0.09811931628575042
NSPOb,0.9167575973791373,0.27167630113243035
N2SPO,0.7592514448151748,0.01748664050250738
N2SPOsn,0.9335759628177864,0.09765925712529915
N2SPOb,0.9470098217664092,0.31498313646536535
NSARGO,0.7484017565904478,0.02815664673885348
NSARGOsn,0.8577379976214426,0.13927447106718038
NSARGOb,0.9003165691774144,0.32273884450723306
N2SARGO,0.7324115626518252,0.02770388641887871
N2SARGOsn,0.9131749734480615,0.1338671010563379
N2SARGOb,0.9342098963610537,0.35973721601421643
AD,0.5561369941218403,0.013360743760210729
AVD,0.5681954467730168,0.015440337638655013
CAUSD,0.8976714782771673,0.010664548622054133
COND,0.5762257635800784,0.021657066643720572
DEMD,0.6666404080573748,0.013019352411613207
LOGD,0.6876554917653223,0.0246480371667471
NEGD,0.7773148215400875,0.010905505876731818
POSD,0.6189852282903691,0.024303496086928257
BCD,0.5798168175566099,0.017566005818807115
CD,0.5373838753445338,0.013303314141913096
CCD,0.90178825317966,0.006199476547546073
DETD,0.5563495034977527,0.02792025785619605
DD,0.9547782125562636,0.005002383868065903
LSD,0.683428034267299,0.017009900794535876
negLOGD,0.8713210434463302,0.008783918757542768
OPPD,0.8356118042692868,0.009833199284576315
ORDD,0.970060026645601,0.006554079822201197
posCAUSD,0.6981961649763141,0.019568422996174218
posID,0.8702798190384597,0.010129935183112327
posLOGD,0.6775540332679155,0.01911707553721108
RPD,0.8660093521071177,0.009475676472833209
SLD,0.6620380315508947,0.021038715717972938
TD,0.7904420043185245,0.011771135440887669
ARI,0.6922438256988166,4.811667521792485
DCI,0.6166119688436092,1.6493291083421453
DCIpsk,0.604864537116968,1.1979427472767687
CLI,0.8917493944277823,7.529874283957876
FKRE,0.6411334857958239,3.553952865161796
FKGL,0.766850031155566,25.959482130694933
FORCAST,0.7846188484738846,2.4587092277280362
FryX,0.7967692197204066,31.02168586546904
FryY,0.6572298071834741,4.764961596137523
GFI,0.6059728531770681,3.738319599786188
LIX,0.7524286210315883,15.775281281565269
RIX,0.6988569434237638,2.172644798766435
SMOG,0.7335336256134732,3.762867212040445
SPACHE,0.18491770286479353,0.07725097111065177
WFCOCAw,0.5506659111713033,7.4848497412714465
T10KCOCAw,0.47852362737828547,0.052561963257167645
T20KCOCAw,0.3925923468777356,0.02376405361601333
T30KCOCAw,0.460029001757699,0.022789034915180403
T40KCOCAw,0.4835514166815471,0.02275425297488047
T50KCOCAw,0.49202699744372835,0.022716721808534443
T60KCOCAw,0.49201283368596543,0.022164827081625628
T70KCOCAw,0.49167870259223084,0.02180995763590962
T80KCOCAw,0.4788785565561574,0.021471079638630514
T90KCOCAw,0.4635679013244235,0.02113542384065907
T100KCOCAw,0.4502794329588228,0.020716319176780067
WFCOCAs,0.5178365110729187,1.1361027241572312
T10KCOCAs,0.5082770500551774,0.0631093537689476
T20KCOCAs,0.39456928098722227,0.029559372955140426
T30KCOCAs,0.4129976822056538,0.022552931831669735
T40KCOCAs,0.45989709487098535,0.023867031139438593
T50KCOCAs,0.4865987505720673,0.024479307793511117
T60KCOCAs,0.5066585986658448,0.025046848520612525
T70KCOCAs,0.5138106696881499,0.024602258575085773
T80KCOCAs,0.5007290332941331,0.0241146816634853
T90KCOCAs,0.5022662268263378,0.02383517194994254
T100KCOCAs,0.5002001472916515,0.023711483187161708
WRCOCAw,0.6093833260606353,2.204205224586828
SDCOCAw,0.5406434763733862,3.7199070647257333
VCCOCAw,0.39411346564753397,2.3749726849199617
JDCOCAw,0.44008341204185863,0.01465666648724263
CDCOCAw,0.4360646091569393,0.03322865983771589
RSCOCAw,0.6270264963553033,0.35506426121282997
DPCOCAw,0.6270136245928005,0.11957261955673343
DPCOCAwnorm,0.6270136245928005,0.11957268220166989
KLDCOCAw,0.527022667736504,0.5426128878795733
WRCOCAs,0.723932268343696,0.5037614605181562
SDCOCAs,0.5218693001789227,2.7817908710554216
VCCOCAs,0.3618824851534792,1.661841648132505
JDCOCAs,0.2510857095622474,0.012509537159139515
CDCOCAs,0.5509929805031878,0.05780927970000077
RSCOCAs,0.7263174320735554,0.11620334313594739
DPCOCAs,0.756155061376282,0.04118195230296397
DPCOCAsnorm,0.7561550613762819,0.04118216912224477
KLDCOCAs,0.6944838232004876,0.9271523432423628
WFCOCAa,0.5594075960200989,2.0156248981143645
T10KCOCAa,0.4756134762238571,0.05035942952979399
T20KCOCAa,0.44523050890720195,0.034672568103157345
T30KCOCAa,0.45915381117776927,0.028465983880948616
