feature,JS_divergence,Wasserstein
wid,0.5399678818811116,1.7909122127439274
MLS,0.1383656511935597,0.38556250551520493
MLC,0.6247117938630775,1.6885914172783656
MLT,0.34473273644120433,1.0413367760637697
CS,0.3882240986889261,0.32286015563996573
CT,0.47484464955260386,0.2425366658232946
cTT,0.7431675150206362,0.12904342461332635
dCC,0.5164590153261006,0.07747544335717892
dCT,0.5028024312771481,0.21148204900509063
cPC,0.6055060236535506,0.11569234121541891
cPT,0.6740636918024573,0.08760397851016795
TS,0.6033448555817976,0.1332564851879098
cNC,0.7289066656629724,0.5741392960012649
cNT,0.6327380136158355,0.6403817361745432
cNS,0.6090804786186206,0.8008559594533875
VPT,0.4847128770358208,0.24446887066486586
NPpre,0.6237833118895487,0.1574879846720194
NPpost,0.5104043468466163,0.3636205134551149
KDbase,0.32694108354716683,0.020055217016695666
NDW,0.2109679631815054,0.886996520328571
TTR,0.5533092564704162,0.03096510975224432
cTTR,0.4673339231205109,0.2159696446286467
rTTR,0.46732260463508973,0.3054260740833429
bTTR,0.5525333802125597,0.011155578550480487
Uber,0.5139084140257463,0.9606851829433612
lwVAR,0.8998384629816661,0.03461254559569053
vVAR1,0.7791023138245134,0.10721329642128308
svVAR1,0.4428797365856097,0.22886804573338082
cvVAR1,0.4148638233120798,0.08696423574956524
vVAR2,0.5291303112269667,0.06738696978764862
nVAR,0.667206217037411,0.10741313934543274
adjVAR,0.5238780498541642,0.045667010037679395
advVAR,0.68536231680334,0.06769157150282064
modVAR,0.4812558606359602,0.04200918460518572
LD,0.6051125888677096,0.056556792155739166
MLWc,0.8746599774203767,0.9163602788643397
MLWs,0.799530126066743,0.26058320748975855
B2KBANC,0.765551431980507,0.12213042326706924
B2KBBNC,0.711583800492633,0.09158913398225846
NNGSL,0.4863200116605767,0.05652783946081589
NSW,0.7189127092431731,0.08407284834995281
1GNLFa,0.33790051103128793,14.440492133993644
2GNLFa,0.4127545537637749,9.180280214545443
3GNLFa,0.5071235481274629,2.599840166186349
4GNLFa,0.5650307315656102,0.2883347805730873
5GNLFa,0.6486174661823965,0.035244916703265156
1GNLFb,0.3613051940748091,17.288394826646716
2GNLFb,0.5212120022036223,17.12717172844045
3GNLFb,0.630690104511832,7.265549975539155
4GNLFb,0.5667902722373483,1.1149397949421522
5GNLFb,0.6300526793430832,0.17770349497022137
1GNLFf,0.36731203670217627,17.616502756189586
2GNLFf,0.5589143828136063,17.492276419498634
3GNLFf,0.6644321407329742,6.609880636809244
4GNLFf,0.6205005743030607,0.9056467093804316
5GNLFf,0.6813224651192316,0.11851255861823129
1GNLFm,0.3446688865104436,15.574411747157873
2GNLFm,0.4391619646694575,11.718406037280252
3GNLFm,0.5428843283559359,4.430735222627263
4GNLFm,0.5367630837003711,0.5798222478114842
5GNLFm,0.6255404108676704,0.09745321003896715
1GNLFn,0.34704967053861585,15.618965845051473
2GNLFn,0.4548034342958874,12.308570170417976
3GNLFn,0.5725477207675307,4.713021583946069
4GNLFn,0.5774438923588062,0.6301439092867217
5GNLFn,0.6258006148081535,0.09390787244569124
1GNLFs,0.372820244859557,18.285652736142147
2GNLFs,0.608148567035501,20.590864718394265
3GNLFs,0.721912833201669,8.233579917942006
4GNLFs,0.6575778050081823,1.2657625388227745
5GNLFs,0.669663692958277,0.16632506513155568
1GNLFtv,0.39581459834919086,20.48291398031946
2GNLFtv,0.6562555193382443,22.998910016199492
3GNLFtv,0.7355874346592688,8.530372554210004
4GNLFtv,0.6423340891855569,1.2970055490792738
5GNLFtv,0.6635499876426093,0.18261864196516253
1GNLFw,0.3579360203693424,16.944026247629203
2GNLFw,0.5093822957775189,16.26168432416464
3GNLFw,0.6252927086055388,6.8316618225582655
4GNLFw,0.5546150222766209,0.992805607084104
5GNLFw,0.6375289933065154,0.15344313037629706
NSLO,0.6321075442601776,0.047062084479855326
NSLOsn,0.46856963998134027,0.11286449601635506
NSLOb,0.7454233251660436,0.15266719469249865
N2SLO,0.4901343585664008,0.0468017681399599
N2SLOsn,0.481565602259436,0.18167100260680216
N2SLOb,0.8902101072844554,0.1763111613873779
NSCWO,0.825739393161252,0.02138124283037654
NSCWOsn,0.7818094170842573,0.07702179154496526
NSCWOb,0.8664341104703098,0.2287600123631304
N2SCWO,0.7810747435278971,0.02549108931686135
N2SCWOsn,0.8100066437032328,0.08333266482934608
