feature,JS_divergence,Wasserstein
wid,0.5363747828436982,1.892690567528554
MLS,0.1781060345924611,0.795408657077969
MLC,0.1829921480384985,0.2382696308474319
MLT,0.1131241341930079,0.23589648364843444
CS,0.3149352376610065,0.2604772150985203
CT,0.24675399389881159,0.103140756459345
cTT,0.1596752803031919,0.015897663342430708
dCC,0.1897350159744261,0.01686343263932028
dCT,0.22422996981149318,0.07054432484261204
cPC,0.15318066478760095,0.00996560677920966
cPT,0.2487619350907027,0.023606753382419327
TS,0.267109977885527,0.07279659763488598
cNC,0.3051510732012162,0.10864450251165586
cNT,0.2622377490206755,0.1594182193116381
cNS,0.1809879340727204,0.1679636189059546
VPT,0.23430621141837307,0.10024597179341177
NPpre,0.2597069548932731,0.03325903838568921
NPpost,0.11599925036592222,0.03737923025573759
KDbase,0.1847035766450591,0.009006846079889528
NDW,0.17160655221691054,0.5712379739153574
TTR,0.25145378678072006,0.007416410324572817
cTTR,0.14924415987414474,0.038836501812060525
rTTR,0.14917125188590694,0.05492477100678733
bTTR,0.253694237827847,0.0024798494671806606
Uber,0.13973062459112517,0.14136085474376564
lwVAR,0.11359688318583855,0.0027922819803449825
vVAR1,0.20664468732170418,0.01941031676926793
svVAR1,0.29403788006299647,0.1985485906163647
cvVAR1,0.27872186235815755,0.05296706090861237
vVAR2,0.48090872088062264,0.06900260827484866
nVAR,0.41233035889981284,0.04194788769390905
adjVAR,0.14550355948473914,0.004614954344554436
advVAR,0.29499112549092454,0.0160067242127503
modVAR,0.2762908103060707,0.01972335555497862
LD,0.27790033071244347,0.017324701825603528
MLWc,0.17364249269735785,0.06380830020463309
MLWs,0.10924636084367116,0.006873712043647421
B2KBANC,0.3782845473090573,0.03216445875130339
B2KBBNC,0.27805114005454956,0.019090655511639194
NNGSL,0.24571153399972281,0.021965144275810925
NSW,0.41278115179605623,0.03180676427317284
1GNLFa,0.33834064597166386,17.19746867394
2GNLFa,0.40400113540539023,9.279255203806068
3GNLFa,0.35815789708673706,1.6979444165154738
4GNLFa,0.257259658951221,0.1247247431569165
5GNLFa,0.15433456144510882,0.00912245304260888
1GNLFb,0.34058440303856946,18.33779189582312
2GNLFb,0.4175709248533208,12.111327079713309
