TID,user_id,post_id,label,text,language
1_1,1,1,bipolar,"Came across some stunning aerial shots of Iceland's landscapes while learning about machine learning-based image processing and I'm obsessed - the unique blend of glaciers, black sand beaches, and geothermal wonders is like nothing I've seen before.",en
2_1,2,1,bipolar,"Periphery's latest album is a total game-changer for djent - the polyrhythms and time signatures are so sick, I've been trying to learn the drum parts but it's like my brain is gonna explode in a good way.",en
3_1,3,1,bipolar,"My '06 Honda Civic's transmission started slipping a few weeks ago, and I've been putting off the repair since I was busy with a quilting project for my niece's birthday; now it's getting worse, and I'm worried I'll be stuck on the side of the road during football season.",en
4_1,4,1,bipolar,"Craziest thing I've learned from a hobby is how to read people's body language through street photography – you start noticing micro-expressions, posture, and eye movement that reveal way more about someone than they intend to show.",en
5_1,5,1,bipolar,"Crypto's been a wild ride lately, but I'm still bullish on ADA - the potential for real-world adoption in Africa is massive, and Charles Hoskinson's vision for a decentralized future really resonates with me.",en
6_1,6,1,bipolar,"Frozen waterfalls have always fascinated me, and I've been itching to write a story set in an ice climbing community where the protagonist stumbles upon an ancient trading card hidden within the glacial walls - what secrets would it hold, and how would it impact their climb to the top?",en
7_1,7,1,bipolar,Folding origami cranes during my lunch breaks has surprisingly improved my writing skills - the attention to detail and patience required for those intricate paper designs have translated well into crafting nuanced sentences and characters.,en
8_1,8,1,bipolar,"Poker's all about reading people, which actually helps me in my detective work - I can pick up on micro-expressions and body language that give away a suspect's guilt or innocence, just like I do with opponents at the table.",en
9_1,9,1,bipolar,"Got my eyes on the new season of Supreme drops and I'm loving the bold colours, reminds me of the vibrant hues I captured on my last landscape photography trip to Uluru.",en
10_1,10,1,bipolar,"Firing at cone 6 has been a game-changer for my ceramic endeavors, allowing me to achieve those rich, deep blues and purples that remind me of a winter sunset on the slopes of Whistler Blackcomb – now if only I could get my metalworking skills to translate to crafting functional kiln furniture.",en
11_1,11,1,bipolar,"Been getting into ultralight backpacking and it's opened up a whole new world of possibilities for me – I can finally explore those remote Aussie trails without lugging around a heavy pack, and the sense of freedom is incredible.",en
12_1,12,1,bipolar,"Watching that robotics competition last weekend got me thinking - we're not far off from seeing autonomous systems in commercial kitchens, streamlining food prep and revolutionizing the way we make chocolate (my other passion).",en
13_1,13,1,bipolar,"Solo travel has been a game-changer for me, especially after getting stuck in a routine with my 9-to-5 job - it's amazing how quickly you can reignite that spark of adventure when you're forced to navigate unfamiliar places on your own.",en
14_1,14,1,bipolar,"When I'm stuck on a scene, I take a break and go snowboarding – there's something about the rush of speed and fresh air that clears my head and helps me approach the script from a different angle; I've even gotten some great dialogue ideas while riding down the mountain.",en
